Alphabetic Presentation Forms,U+FB00,U+FB4F,0
Arabic,U+0600,U+06FF,0
Arabic Presentation Forms-A,U+FB50,U+FDFF,0
Arabic Presentation Forms-B,U+FE70,U+FEFF,0
Arabic Supplement,U+0750,U+077F,0
Armenian,U+0530,U+058F,0
Arrows,U+2190,U+21FF,0
Balinese,U+1B00,U+1B7F,0
Bamum,U+A6A0,U+A6FF,0
Basic Latin,U+0021,U+007F,1
Batak,U+1BC0,U+1BFF,0
Bengali,U+0980,U+09FF,0
Block Elements,U+2580,U+259F,0
Bopomofo,U+3100,U+312F,0
Bopomofo Extended,U+31A0,U+31BF,0
Box Drawing,U+2500,U+257F,0
Braille Patterns,U+2800,U+28FF,0
Buginese,U+1A00,U+1A1F,0
Buhid,U+1740,U+175F,0
Cham,U+AA00,U+AA5F,0
Cherokee,U+13A0,U+13FF,0
CJK Compatibility,U+3300,U+33FF,0
CJK Compatibility Forms,U+FE30,U+FE4F,0
CJK Compatibility Ideographs,U+F900,U+FAFF,0
CJK Radicals Supplement,U+2E80,U+2EFF,0
CJK Strokes,U+31C0,U+31EF,0
CJK Symbols and Punctuation,U+3000,U+303F,0
CJK Unified Ideographs,U+4E00,U+9FFF,0
CJK Unified Ideographs Extension A,U+3400,U+4DBF,0
Combining Diacritical Marks,U+0300,U+036F,0
Combining Diacritical Marks for Symbols,U+20D0,U+20FF,0
Combining Diacritical Marks Supplement,U+1DC0,U+1DFF,0
Combining Half Marks,U+FE20,U+FE2F,0
Common Indic Number Forms,U+A830,U+A83F,0
Control Pictures,U+2400,U+243F,0
Coptic,U+2C80,U+2CFF,0
Currency Symbols,U+20A0,U+20CF,0
Cyrillic,U+0400,U+04FF,0
Cyrillic Extended-A,U+2DE0,U+2DFF,0
Cyrillic Extended-B,U+A640,U+A69F,0
Cyrillic Supplement,U+0500,U+052F,0
Devanagari,U+0900,U+097F,0
Devanagari Extended,U+A8E0,U+A8FF,0
Dingbats,U+2700,U+27BF,0
Enclosed Alphanumerics,U+2460,U+24FF,0
Enclosed CJK Letters and Months,U+3200,U+32FF,0
Ethiopic,U+1200,U+137F,0
Ethiopic Extended,U+2D80,U+2DDF,0
Ethiopic Extended-A,U+AB00,U+AB2F,0
Ethiopic Supplement,U+1380,U+139F,0
General Punctuation,U+2000,U+206F,0
Geometric Shapes,U+25A0,U+25FF,0
Georgian,U+10A0,U+10FF,0
Georgian Supplement,U+2D00,U+2D2F,0
Glagolitic,U+2C00,U+2C5F,0
Greek and Coptic,U+0370,U+03FF,0
Greek Extended,U+1F00,U+1FFF,0
Gujarati,U+0A80,U+0AFF,0
Gurmukhi,U+0A00,U+0A7F,0
Halfwidth and Fullwidth Forms,U+FF00,U+FFEF,0
Hangul Compatibility Jamo,U+3130,U+318F,0
Hangul Jamo,U+1100,U+11FF,0
Hangul Jamo Extended-A,U+A960,U+A97F,0
Hangul Jamo Extended-B,U+D7B0,U+D7FF,0
Hangul Syllables,U+AC00,U+D7AF,0
Hanunoo,U+1720,U+173F,0
Hebrew,U+0590,U+05FF,0
High Private Use Surrogates,U+DB80,U+DBFF,0
High Surrogates,U+D800,U+DB7F,0
Hiragana,U+3040,U+309F,0
Ideographic Description Characters,U+2FF0,U+2FFF,0
IPA Extensions,U+0250,U+02AF,0
Javanese,U+A980,U+A9DF,0
Kanbun,U+3190,U+319F,0
Kangxi Radicals,U+2F00,U+2FDF,0
Kannada,U+0C80,U+0CFF,0
Katakana,U+30A0,U+30FF,0
Katakana Phonetic Extensions,U+31F0,U+31FF,0
Kayah Li,U+A900,U+A92F,0
Khmer,U+1780,U+17FF,0
Khmer Symbols,U+19E0,U+19FF,0
Lao,U+0E80,U+0EFF,0
Latin Extended Additional,U+1E00,U+1EFF,0
Latin Extended-A,U+0100,U+017F,1
